,Country,ESTJ,ESTP,ESFJ,ESFP,ENTJ,ENTP,ENFJ,ENFP,ISTJ,ISTP,ISFJ,ISFP,INTJ,INTP,INFJ,INFP,I,E,N,S,F,T,P,J
20,Botswana,0.0431,0.0228,0.0837999999999999,0.039499999999999896,0.0342,0.051899999999999905,0.0745,0.11989999999999999,0.0338,0.0254,0.0688,0.0608,0.0401,0.07129999999999989,0.0808,0.1491,0.5301,0.4696999999999997,0.6217999999999999,0.3779999999999998,0.6771999999999998,0.3225999999999998,0.5406999999999997,0.45909999999999984
21,Brazil,0.0278,0.0186,0.0498,0.0323,0.0275,0.050199999999999995,0.0631,0.1336,0.0394,0.0252999999999999,0.049,0.038299999999999904,0.0645,0.09770000000000001,0.0938,0.189,0.5969999999999998,0.4029,0.7194,0.2804999999999998,0.6488999999999998,0.3509999999999999,0.5849999999999997,0.4149
22,Brunei,0.0245,0.0189,0.09,0.07719999999999999,0.0119,0.024300000000000002,0.0558,0.122,0.0223,0.0245999999999999,0.086,0.10409999999999989,0.0202,0.039599999999999996,0.0835,0.19519999999999998,0.5754999999999997,0.42460000000000003,0.5525,0.44759999999999983,0.8137999999999997,0.18629999999999988,0.6058999999999997,0.3942
23,Bulgaria,0.0494999999999999,0.03,0.046,0.0281,0.0536,0.0899999999999999,0.0631999999999999,0.1281999999999999,0.036500000000000005,0.0263,0.039099999999999996,0.0321,0.0553,0.1013,0.0697,0.1512,0.5115,0.4885999999999996,0.7124999999999997,0.2875999999999999,0.5575999999999999,0.4424999999999998,0.5871999999999998,0.41289999999999977
24,Burkina Faso,0.0302,0.0369,0.0938999999999999,0.0906,0.0235,0.0436,0.1073999999999999,0.1744,0.0202,0.0302,0.050300000000000004,0.050300000000000004,0.0202,0.0537,0.0805,0.1006999999999999,0.40609999999999996,0.6004999999999999,0.6039999999999998,0.4025999999999999,0.7480999999999998,0.2585,0.5803999999999999,0.4261999999999998
25,Cambodia,0.0464999999999999,0.0254,0.1139,0.0681,0.0218,0.037000000000000005,0.06939999999999999,0.1273,0.032100000000000004,0.0265,0.0708,0.068,0.028,0.0427,0.0733,0.1491,0.4905000000000001,0.5093999999999999,0.5486000000000001,0.4512999999999999,0.7398999999999999,0.2599999999999999,0.5441,0.45579999999999987
26,Cameroon,0.0737,0.0267999999999999,0.14979999999999988,0.0682,0.0414,0.0402,0.0817,0.0798,0.039,0.0207,0.08030000000000001,0.0439,0.0352999999999999,0.0376999999999999,0.0718999999999999,0.1096,0.4383999999999997,0.5615999999999998,0.49759999999999965,0.5023999999999997,0.6851999999999998,0.3147999999999997,0.4268999999999997,0.5730999999999997
27,Canada,0.0356,0.0220999999999999,0.0826,0.0475999999999998,0.0259,0.0459999999999999,0.0721,0.1344,0.035599999999999896,0.0228999999999999,0.0838,0.0553,0.035,0.059199999999999996,0.0842999999999999,0.1574,0.5334999999999996,0.4662999999999996,0.6142999999999997,0.3854999999999995,0.7174999999999997,0.2822999999999996,0.5448999999999994,0.4548999999999998
28,Chile,0.0254,0.016,0.0467999999999999,0.030899999999999997,0.0265,0.0503,0.0615,0.1321,0.0369,0.027,0.046,0.0396,0.0672,0.1041,0.0935,0.19629999999999997,0.6106,0.3894999999999999,0.7314999999999999,0.2685999999999999,0.6466999999999998,0.35340000000000005,0.5963000000000002,0.4037999999999999
29,China,0.0541,0.032,0.1016,0.0681,0.0303,0.0434999999999999,0.056899999999999895,0.0943,0.0474,0.0358999999999999,0.0952,0.08410000000000001,0.0373999999999999,0.0570999999999999,0.055999999999999994,0.10629999999999999,0.5193999999999996,0.48079999999999984,0.48179999999999956,0.5184,0.6625,0.3376999999999996,0.5212999999999997,0.47889999999999977
